WKT,이름,설명
"POINT (126.9195402 35.1484752)",점 26,
"POINT (126.9197977 35.1486704)",점 27,
"POINT (126.9193743 35.1492579)",점 28,
"POINT (126.9187357 35.1498694)",점 29,
"POINT (126.9181785 35.1503654)",점 30,
"POINT (126.9170681 35.1514664)",점 31,
"POINT (126.9174893 35.1518084)",점 32,
"POINT (126.9170681 35.1514664)",점 33,
"POINT (126.9160838 35.1506818)",점 34,
"POINT (126.9154293 35.1501423)",점 35,
"POINT (126.9146056 35.1494753)",점 36,
"POINT (126.9143081 35.1496511)",점 37,
"POINT (126.9127465 35.1489624)",점 38,
"POINT (126.9124917 35.1493046)",점 39,
"POINT (126.9127036 35.1495283)",점 40,
"POINT (126.9125882 35.1496445)",점 41,
"POINT (126.9124702 35.1495546)",점 42,
"POINT (126.9123732 35.1496289)",점 43,
"POINT (126.9132691 35.1503504)",점 44,
"POINT (126.9123732 35.1496289)",점 45,
"POINT (126.9115916 35.1490104)",점 46,
"POINT (126.9108674 35.1484248)",점 47,
"POINT (126.911059 35.1482275)",점 48,
"POINT (126.9118182 35.1485531)",점 49,
"POINT (126.9125437 35.1488591)",점 50,
"POINT (126.9133628 35.1483151)",점 51,
"POINT (126.9137704 35.1480178)",점 52,
"POINT (126.9141598 35.1477485)",점 53,
"POINT (126.9147666 35.147328)",점 54,
"POINT (126.9137247 35.1465828)",점 55,
"POINT (126.9140332 35.1461825)",점 56,
"POINT (126.9144691 35.1456298)",점 57,
"POINT (126.9143296 35.1455509)",점 58,
"POINT (126.9144731 35.145643)",점 59,
"POINT (126.9140332 35.1461825)",점 60,
"POINT (126.9137247 35.1465828)",점 61,
"POINT (126.9147666 35.147328)",점 62,
"POINT (126.9151911 35.1477289)",점 63,
"POINT (126.9153386 35.1476105)",점 64,
"POINT (126.9153979 35.1473155)",점 65,
"POINT (126.9154137 35.1471521)",점 66,
"POINT (126.9154904 35.1470469)",점 67,
"POINT (126.9153799 35.1469338)",점 68,
"POINT (126.9160876 35.1464324)",점 69,
"POINT (126.9157657 35.1462514)",점 70,
"POINT (126.9160876 35.1464324)",점 71,
"POINT (126.9153799 35.1469338)",점 72,
"POINT (126.9154904 35.1470469)",점 73,
"POINT (126.9154137 35.1471521)",점 74,
"POINT (126.9153979 35.1473155)",점 75,
"POINT (126.9153386 35.1476105)",점 76,
"POINT (126.9151911 35.1477289)",점 77,
"POINT (126.915537 35.1480366)",점 78,
"POINT (126.9159979 35.1484407)",점 79,
"POINT (126.9159161 35.148512)",점 80,
"POINT (126.9168053 35.1492379)",점 81,
"POINT (126.9173747 35.1497262)",점 82,
"POINT (126.9180665 35.1492053)",점 83,
"POINT (126.91867 35.1487426)",점 84,
"POINT (126.9192601 35.1482491)",점 85,
"POINT (126.9190562 35.1480561)",점 86,
"POINT (126.9192601 35.1482491)",점 87,
"POINT (126.91867 35.1487426)",점 88,
"POINT (126.9180665 35.1492053)",점 89,
"POINT (126.9173747 35.1497262)",점 90,
"POINT (126.9181681 35.1503751)",점 91,
